,Rn_V_myTSEB,Rn_S_myTSEB,LE_V_myTSEB,LE_S_myTSEB,H_V_myTSEB,H_S_myTSEB,G_myTSEB,Trad_V_myTSEB,Trad_S_myTSEB
5274,34.431228977847326,1.4008708958599527,0.0,-282.3408630978384,34.431228977847326,283.25142918014734,0.49030481355098343,299.1876220703125,306.28381461251087
5275,292.25394414558275,263.8349924608199,43.47317129199399,178.0508258226794,248.78077285358876,-2.6716350973199328,88.45580173546038,287.9232482910156,286.61066338522494
5276,67.11991467157338,123.09145214355897,0.0002539799921805752,-310.56235659371737,67.1196606915812,390.57173262306407,43.082076114212256,305.12725830078125,310.48376797478267
5277,445.751200705707,50.69795399706363,302.5265042382431,22.992267114415053,143.2246964674639,13.709662698856913,13.99602418379166,311.05328369140625,309.8841952345312
5278,450.33937546381634,-40.44947302986159,0.0,-512.6638721533923,450.33937546381634,486.3717146839822,-14.157315560451556,289.8631286621094,310.84889580778395
5279,175.73326102394606,-32.95280397283206,0.0,-279.7276528020055,175.73326102394606,258.30833021966464,-11.53348139049122,314.0177917480469,326.6784664763608
5280,354.2383650934719,-67.31151650394898,0.0,-890.8717013558063,354.2383650934719,847.1192156282394,-23.55903077638214,296.1601867675781,309.8255045741451
5281,408.71754252079734,-92.80856595367035,0.0,-680.3305702441016,408.71754252079734,620.0050023742159,-32.48299808378462,288.3594665527344,311.7639676471912
5282,351.1169345002383,228.74175604856828,0.0,-229.5948941819281,351.1169345002383,378.2770356134975,80.05961461699889,304.6690368652344,316.69078280547694
5283,267.5669130266281,-31.200774267331724,0.0,-632.6565019263082,267.5669130266281,612.3759986525426,-10.920270993566103,306.0979919433594,327.69193575166554
5284,129.13427945412843,325.92938400131607,-117.68745893432504,323.18085667534626,246.82173838845347,-61.13172803136692,63.88025535733675,304.2253112792969,281.61622160828665
5285,455.8813454492672,58.12629635423579,113.4785620680284,8.492451437404704,342.4027833812388,30.70844557345813,18.92539934337296,289.0111999511719,289.14424091327606
