,Rn_V_pyTSEB,Rn_S_pyTSEB,LE_V_pyTSEB,LE_S_pyTSEB,H_V_pyTSEB,H_S_pyTSEB,G_pyTSEB,Trad_V_pyTSEB,Trad_S_pyTSEB
56,186.05740830334736,172.47356854377824,33.73639,0.43399048,152.32101,111.67383,60.36575,290.7241,292.87167
57,583.2480700060505,-8.232279445765599,0.0,0.0,583.24805,-5.35098,-2.8812969,314.96545,327.033
58,395.1060174527796,-44.261526989141636,0.0,0.0,395.10602,-28.769993,-15.491534,311.7422,317.68564
59,357.18452277304993,81.19925334246099,0.0,0.0,357.1845,52.77951,28.419739,305.52795,315.6876
60,448.47520434648385,108.0913371120945,0.0,0.0,448.47522,70.25937,37.831966,303.4081,314.21268
61,386.25950977289256,-17.899568266789032,0.0,0.0,386.25952,-11.634718,-6.264848,306.46085,311.2472
62,123.54073110155043,-69.18909058899274,0.0,0.0,123.54073,-44.972908,-24.216179,294.91837,307.8056
63,inf,-inf,,0.0,inf,,,,1e-06
64,53518038.696099326,-55107817.96653077,,0.0,16287323.0,,,17539.78,1e-06
65,93.07514083281228,-64.13582013866643,0.0,0.0,93.07515,-41.688282,-22.447536,302.19675,311.9997
66,110.8360249096689,45.56761519240649,95.17205,22.72732,15.663973,6.8916306,15.948666,309.93524,310.37128
67,138.81157497818216,181.80656947784428,48.02392,7.6903915,90.78767,110.48388,63.632298,313.44916,319.20065
68,271.82268655706093,407.96538394376824,125.04471,218.36345,146.77798,46.81404,142.78789,288.11755,290.97427
69,290.56821140825764,-71.44286380055465,0.0,0.0,290.56824,-46.437862,-25.005001,318.1014,331.22955
70,28374646.109536715,-28798776.088680733,,0.0,16395173.0,,,31389.04,1e-06
71,175.36208906120197,423.1390788949755,194.68094,232.93791,-19.318848,42.102493,148.09868,309.108,310.47766
72,608.1724863204932,166.03864341271665,232.94763,11.086784,375.22485,96.83834,58.113525,291.3157,295.596
73,566.5618128046287,75.70621924672105,0.0,0.0,566.56177,49.209045,26.497177,300.72476,311.11774
74,inf,-inf,,0.0,inf,,,,1e-06
75,inf,-inf,,0.0,-inf,,,,1e-06
76,376.91756455189375,258.4340626089368,210.01097,85.60258,166.90657,82.379555,90.45192,298.83368,302.15082
77,242.83133962311277,-179.65762681555591,0.0,0.0,242.83133,-116.77745,-62.88017,287.62482,316.59497
78,289.87934035758934,-100.24728392590777,0.0,0.0,289.87933,-65.160736,-35.086548,297.5769,319.45105
79,inf,-inf,,0.0,inf,,,,1e-06
80,177.47475123138656,235.40905944548825,0.0,0.0,177.47476,153.0159,82.393166,294.5583,314.4222
81,inf,-inf,,0.0,inf,,,,1e-06
82,5248718.330740546,-5429936.980970008,211446.86,0.0,1327559.9,221654.02,-96362.99,1112.44,1e-06
83,inf,-inf,,0.0,inf,,,,1e-06
84,9796.744547459022,-10203.381656855168,-251.90118,0.0,6973.5986,12798.474,204.67749,326.36838,1e-06
85,157.49163899400617,340.8890880600343,22.685547,228.42502,134.80609,-6.8471074,119.31118,312.98746,311.26712
86,inf,-inf,,0.0,inf,,,,1e-06
87,232.89455347811986,480.7763145873786,19.386017,309.84985,213.50853,2.6547558,168.2717,313.45734,311.67297
88,2.4325174816276376,92.97785659459583,0.0,0.0,2.4325175,60.435608,32.54225,296.1317,307.4505
89,147.2762180136001,546.4761242269885,0.0,0.0,147.27621,355.20947,191.26666,287.5426,305.584
90,576.0154707654142,-37.911997487421154,0.0,0.0,576.0155,-24.642796,-13.269198,293.8758,301.48096
91,408.21710476679743,-390.90339830445237,0.0,0.0,408.2171,-254.08722,-136.8162,292.92996,346.5915
92,355.87178785420724,14.37976171325171,0.0,0.0,355.8718,9.346845,5.032916,300.02722,313.03378
93,416.27063850286504,-342.1359256542703,0.0,0.0,416.27063,-222.38835,-119.747574,314.83173,356.47293
94,166.59481764742918,2.8035482929061004,0.0,0.0,166.59482,1.8223081,0.9812427,288.7913,303.5563
95,53.85527051322847,-95.2574339699656,0.0,0.0,53.85527,-61.91733,-33.3401,314.86703,328.43
96,132.2273163629788,238.763187466253,0.0,0.0,132.22733,155.19608,83.567116,309.69757,316.61368
97,868.2183943769555,-175.97152147852967,0.0,0.0,868.21844,-114.38149,-61.590034,309.3898,338.89893
98,211.34192459454545,291.67349379089916,0.0,0.0,211.34192,189.58777,102.085724,306.78336,316.35284
99,141.15854494493271,-7.511462806668163,0.0,0.0,141.15855,-4.882451,-2.629012,303.18875,307.48273
100,136.09568152705458,111.502839292358,5.0251923,66.65851,131.0705,5.818346,39.025997,316.31537,313.13834
101,229.9516488917775,162.1586294499239,18.428452,88.12236,211.52321,17.28075,56.75552,311.27667,310.5275
102,111.18285485834929,-87.47951902518193,0.0,0.0,111.18286,-56.86169,-30.617832,306.2282,319.19846
103,115.27338275322674,-31.33786875812075,0.0,0.0,115.273384,-20.369614,-10.968253,295.8879,312.78006
104,156299950.0445267,-256019432.65621367,,0.0,25257260.0,,,194664.56,1e-06
105,402347290.2152265,-407647926.7460351,,0.0,-98370860.0,,,-74960.87,1e-06
106,439.1603344138314,21.227797698991075,174.28848,5.942001,264.87186,7.856068,7.4297295,306.80707,305.2117
107,842.012909791346,-258.1399588620177,0.0,0.0,842.01294,-167.79097,-90.34898,311.7381,351.4531
108,57.149073462630696,559.8744313223837,7.8109894,367.2269,49.33808,-3.3085494,195.95604,308.71875,306.79965
109,inf,-inf,,0.0,inf,,,,1e-06
110,187.5144854925431,-1.335140402113768,49.61223,7.3108325,137.90224,-8.178674,-0.46729907,293.85794,291.90198
111,607.7230936580104,-53.89603847185202,0.0,0.0,607.7231,-35.032425,-18.863615,317.20096,343.39215
112,inf,-inf,,0.0,inf,,,,1e-06
113,inf,-inf,,0.0,inf,,,,1e-06
114,inf,-inf,,0.0,inf,,,,1e-06
115,5099683.828438151,-5166436.961224953,,0.0,1012641.56,,,883.4729,1e-06
116,155.55110451605086,127.1022257631385,0.0,0.0,155.5511,82.616455,44.485783,306.38968,308.8375
117,151882006.6497464,-170165995.2142192,,0.0,75989620.0,,,568010.1,1e-06
118,201.72108123555904,443.9662425988745,0.0,0.0,201.72108,288.57806,155.38817,301.78503,324.3975
119,268.6796237832781,112.94235974343644,112.15671,6.28862,156.52292,67.12392,39.529827,302.7386,307.65982
120,364.59874095341814,263.4209505679714,0.0,0.0,364.59875,171.22363,92.197334,294.56976,316.4093
121,221.88725559040967,-12.43335698657182,0.0,0.0,221.88725,-8.081682,-4.351675,305.40018,308.51007
122,433.56902618183915,211.9681318552093,268.82202,91.45267,164.74702,46.32661,74.18884,305.93787,305.99118
123,9102280.382907948,-30403784.55517115,,0.0,-280904.56,,,-1440.2645,1e-06
124,119.15170476216741,415.4616188567232,52.571045,238.45723,66.58067,31.59282,145.41158,309.75607,312.18805
125,inf,-inf,,0.0,-inf,,,,1e-06
126,48.17880094929782,177.48751885894038,6.60511,4.0531693,41.573692,111.31371,62.120632,288.7567,290.53375
127,505.9390826985038,77.26146301499574,0.0,0.0,505.9391,50.219955,27.041513,301.2415,316.8278
128,653.7925831450135,36.814107143729046,0.0,0.0,653.7926,23.929167,12.884935,294.47894,312.47855
129,143.74244398316003,218.00854244616318,0.0,0.0,143.74245,141.70554,76.30299,316.36438,327.14905
130,429032713.10060424,-439682442.5379515,,0.0,-114121540.0,,,-393651.44,1e-06
131,inf,-inf,,0.0,inf,,,,1e-06
132,17593.630159742836,-17524.80525483519,,0.0,16551.025,,,422.74234,1e-06
133,inf,-inf,,0.0,inf,,,,1e-06
134,290.18539473097746,-57.8305649097899,0.0,0.0,290.1854,-37.589867,-20.240698,294.35953,317.15274
135,339.9363421667972,255.43673884792042,0.0,0.0,339.93634,166.03387,89.402855,300.4655,302.97348
136,285.55465580466034,-255.19791133358783,0.0,0.0,285.55466,-165.87863,-89.31927,288.86826,327.5211
137,473.94468652830346,-489.0419120844018,0.0,0.0,473.9447,-317.87726,-171.16467,294.29758,364.219
138,62.11138388586315,46.21167633120339,0.0,0.0,62.11138,30.03759,16.174088,301.53622,305.88138
139,1645082474.5263326,-1673246154.5360808,,0.0,273060860.0,,,735750.2,1e-06
140,401.9761586835072,-239.92308845533134,0.0,0.0,401.97617,-155.95001,-83.97308,311.18817,345.13
141,inf,-inf,,0.0,inf,,,,1e-06
142,171.16122669205015,62.43052292178564,16.288696,0.5940819,154.87254,39.98576,21.850683,293.35736,294.11273
143,295.0429695774068,142.999498855259,0.0,0.0,295.04297,92.94968,50.049824,306.54156,313.03897
144,584.6944157928172,-523.6164103818259,0.0,0.0,584.6944,-340.35065,-183.26573,317.14383,373.02832
145,597.7280142079527,39.11777584996854,0.0,0.0,597.728,25.426556,13.691223,296.23886,300.89737
146,254.33834925300928,-8.667223452832474,0.0,0.0,254.33835,-5.6336966,-3.0335283,300.93018,308.25955
147,393.0822917658126,44.32751311310335,234.01192,16.828094,159.07036,11.984792,15.51463,288.0477,288.20065
148,55.776848346024686,-171.4606869559575,0.0,0.0,55.776848,-111.44945,-60.011242,294.05368,318.20996
149,204.1690094789597,33.241870030386984,76.8977,9.969279,127.27131,11.637937,11.634655,306.24234,306.66467
150,189.99810435902657,-16.72023939227047,0.0,0.0,189.99811,-10.868155,-5.852083,315.99957,327.17517
151,15207.158786005091,-15192.111560757963,25615.379,0.0,8145.039,19009.316,-18378.742,305.0717,1e-06
152,162.70720106477484,180.09279323252719,53.319855,1.7820587,109.38736,115.27826,63.032475,307.41052,312.5583
153,217.45891574721233,-235.8638423429889,0.0,0.0,217.45892,-153.3115,-82.552345,313.68747,342.72382
154,170.07672407973416,-109.9482172429851,0.0,0.0,170.07674,-71.46634,-38.481873,311.9291,338.60907
155,308.97790869988626,203.26333520084432,0.0,0.0,308.9779,132.12117,71.142166,306.5506,313.85275
156,577.2977973926779,213.0325383544823,0.0,0.0,577.2978,138.47115,74.561386,288.2189,307.25446
157,13235.095860499148,-13077.322767331923,-221.38649,0.0,4487.71,11522.161,280.22754,324.48355,1e-06
158,inf,-inf,,0.0,inf,,,,1e-06
159,79.28351004808,603.3616524204851,4.643982,260.17035,74.63953,132.01477,211.17659,296.62576,297.8657
160,285.4081954035298,140.2162010100938,0.0,0.0,285.4082,91.14053,49.07567,316.78998,325.29846
161,inf,-inf,,0.0,inf,,,,1e-06
162,490.7840975525522,62.855746334617095,0.0,0.0,490.78412,40.85623,21.999512,312.14087,327.13193
163,74.47833449727452,664.4973502945287,79.02176,357.43698,-4.543426,74.486305,232.57408,309.22223,312.279
164,465.602838084519,241.73992624085798,176.0893,4.7682037,289.51352,152.36275,84.60897,299.07806,304.35092
165,-23.63343580119026,446.17036482155515,-0.7818737,126.13948,-22.851564,163.87126,156.15962,299.9064,306.15482
166,388.4414470779236,66.32750992793308,119.089935,37.9526,269.3515,5.1602864,23.21463,301.45135,296.81662
167,inf,-inf,,0.0,inf,,,,1e-06
168,46352.28056348487,-47101.485486462174,,0.0,38153.082,,,881.02527,1e-06
169,1113121.74107943,-1146696.028301802,,0.0,527816.0,,,1218.4902,1e-06
170,267.5096153005781,453.9855960769546,24.27649,57.810562,243.23312,237.28008,158.89496,286.9658,293.06155
171,371.13488607321824,126.09920613501171,0.0,0.0,371.1349,81.964485,44.13472,296.73468,308.99026
172,5661.453801897244,-5127.157963524936,90.09277,0.0,4315.484,5281.849,85.96206,301.6175,1e-06
173,496.55793253731485,168.08968287062135,500.22812,70.200264,-3.6701663,39.05802,58.831387,303.55835,306.67957
174,76.90280613186698,74.52496569633902,0.0,0.0,76.9028,48.44123,26.08374,294.45294,307.49493
175,1.8539002770877744,41.01500164072034,0.01250875,21.865871,1.8413883,4.7938805,14.355251,297.685,297.5815
176,185.0881143691701,-285.71287277621883,0.0,0.0,185.08812,-185.71336,-99.9995,286.6094,330.3677
177,inf,-inf,,0.0,inf,,,,1e-06
178,272.83607810605577,-15.235577266271427,0.0,0.0,272.8361,-9.903126,-5.332452,296.1009,298.03235
179,403.74106427137804,56.74652359696732,54.728333,10.756109,349.01276,26.12913,19.861282,308.08694,306.08414
180,140078.2307917742,-141779.39760250453,,0.0,64585.52,,,345.6496,1e-06
181,452.9646589088202,-309.83012849093274,0.0,0.0,452.96466,-201.38959,-108.440544,319.07202,354.77325
182,298.3060684620965,5.3258651141536575,0.0,0.0,298.3061,3.4618134,1.8640534,305.45676,319.74118
183,576.3568566632239,68.51355222117056,413.221,12.937416,163.13585,31.59639,23.979742,290.622,290.73148
184,181.88220245918228,-12.171179084616483,0.0,0.0,181.8822,-7.9112678,-4.259913,289.05667,296.60883
185,204.69504089703372,10.336827286216156,0.0,0.0,204.69505,6.718937,3.6178894,288.89087,290.2154
186,2180294.5955128116,-2216847.9033103855,421096.88,0.0,-481785.47,108301.87,-115387.55,-749.74054,1e-06
187,346.0124636312183,192.75703615669875,0.0,0.0,346.01248,125.29206,67.46496,304.43903,312.63513
188,399.3466849475688,84.76657931496158,0.0,0.0,399.34668,55.098274,29.668304,303.5861,312.6424
189,127.28847124677603,-195.96932051609778,0.0,0.0,127.28847,-127.38006,-68.58926,290.9142,320.8363
190,32.61291123426565,409.02089204037577,8.943117,0.094177246,23.669798,265.7694,143.15732,306.0186,308.03003
191,3.6850892863541587,722.5111256088956,2.4144769,188.51114,1.2706121,281.12106,252.87889,301.9093,303.9152
192,6.920951689786273,-31.32666428325846,0.0,0.0,6.9209514,-20.362331,-10.964333,293.80566,299.84097
193,484.655933625574,-391.36858694443924,0.0,0.0,484.65594,-254.38959,-136.979,306.95044,354.9507
194,434.59243812757336,161.0234241044859,0.0,0.0,434.59247,104.66524,56.358204,299.1488,318.0522
195,41.412223545056776,-44.146780141352934,0.0,0.0,41.412224,-28.695408,-15.451373,287.14627,293.59485
196,166.3867173595316,12.927585773325518,0.0,0.0,166.38672,8.402933,4.5246563,310.60147,317.93137
197,457.7228602905093,157.6704985948116,0.0,0.0,457.72287,102.485825,55.184677,295.3003,333.7729
198,inf,-inf,,0.0,inf,,,,1e-06
199,308.46031616092375,-314.4283579720651,0.0,0.0,308.46033,-204.37842,-110.04992,313.87155,351.1368
200,inf,-inf,,0.0,inf,,,,1e-06
201,180.58438449809967,36.27756982848882,158.63307,14.599832,21.951319,8.980588,12.697149,306.83282,306.97052
202,250.27007103467452,140.9282897874766,0.0,0.0,250.27005,91.60339,49.324905,309.9197,304.62375
203,-279.3213682454983,286.844372162982,0.0,0.0,-279.32135,186.44884,100.39552,291.17255,404.79803
204,73.5892213780543,-14.691728354992335,0.0,0.0,73.58922,-9.549623,-5.142104,312.1331,325.23328
205,86.6276859028217,204.17974543210477,0.0,0.0,86.627686,132.71683,71.46292,295.95398,305.94913
206,86.97844942271446,65.8384649956369,0.0,0.0,86.978455,42.795006,23.043465,300.0285,304.25482
207,inf,-inf,,0.0,inf,,,,1e-06
208,1931753.0635334542,-2045525.7788744941,196099.88,0.0,642069.2,144209.48,-102428.87,1000.53754,1e-06
209,107.60957623738949,78.40070302691791,0.0,0.0,107.60958,50.960453,27.440243,299.49954,307.43552
210,88.30120452260161,75.95972948375629,0.0,0.0,88.3012,49.37382,26.585903,286.1326,296.61453
211,109.07367087369872,664.3624654901622,5.109535,383.8829,103.964134,47.952736,232.52687,286.4269,287.88162
212,343.0344847559986,132.3629279787422,0.0,0.0,343.0345,86.035904,46.327026,319.34317,313.2802
213,402.6579035347699,-176.92248170702996,0.0,0.0,402.6579,-114.99962,-61.922867,314.46417,336.52945
214,inf,-inf,,0.0,inf,,,,1e-06
215,14.081594619136744,27.007382122809474,0.0,0.0,14.081594,17.554798,9.452583,309.53598,316.34097
216,193.25827693934508,18.439915322650933,0.0,0.0,193.25829,11.985947,6.453972,291.80267,300.30676
217,49752748.43544075,-53245783.27588198,,0.0,39707524.0,,,37582.62,1e-06
218,98390119.3726241,-99601749.52734925,,0.0,65260350.0,,,74090.36,1e-06
219,60.60322999373487,-119.53493030628583,0.0,0.0,60.60323,-77.69771,-41.83722,301.29407,317.9143
220,123.55978204442553,34.785348433181014,0.0,0.0,123.559784,22.610481,12.174874,300.79184,320.22894
