,lai,fv_var,h_V,row_sep,plant_sep_var,sza_radians,phi_radians,abs_vis_leaf,abs_nir_leaf,rho_vis_soil,rho_nir_soil,Sdn,Srad_dir,Srad_diff,Rc_binomial,Rs_binomial
1137,1.8203125,0.958984375,3.271484375,4.6015625,0.580078125,0.8614154335526701,1.1593485910220147,0.8441406250000001,0.09882812499999999,0.0568359375,0.4412109375,552.0392058537899,286.46049531440684,265.57871053938305,289.89089466501264,226.5648144253716
1138,1.8203125,0.958984375,3.271484375,4.6015625,0.580078125,0.48916942902575444,2.1600494801147008,0.8441406250000001,0.09882812499999999,0.0568359375,0.4412109375,836.1686499296029,533.5795797698197,302.5890701597832,371.03541921624674,388.3482188962277
1139,1.8203125,0.958984375,3.271484375,4.6015625,0.580078125,0.48916942902575444,1.1593485910220147,0.8152343750000001,0.09882812499999999,0.0568359375,0.4412109375,836.1686499296029,533.5795797698197,302.5890701597832,377.0780914577506,386.43483935385655
1140,1.8203125,0.958984375,3.271484375,4.6015625,0.580078125,0.48916942902575444,1.1593485910220147,0.8441406250000001,0.108203125,0.0568359375,0.4412109375,836.1686499296029,533.5795797698197,302.5890701597832,387.75471748807945,380.51944688521814
1141,1.8203125,0.958984375,3.271484375,4.6015625,0.580078125,0.48916942902575444,1.1593485910220147,0.8441406250000001,0.09882812499999999,0.1017578125,0.4412109375,836.1686499296029,533.5795797698197,302.5890701597832,381.26259389644775,375.67758534371876
1142,1.8203125,0.958984375,3.271484375,4.6015625,0.580078125,0.48916942902575444,1.1593485910220147,0.8441406250000001,0.09882812499999999,0.0568359375,0.3142578125,836.1686499296029,533.5795797698197,302.5890701597832,378.0844344803959,434.904076258695
1143,5.6984375,0.857421875,4.259765625,6.1484375,0.705078125,0.8614154335526701,2.1600494801147008,0.8152343750000001,0.108203125,0.1017578125,0.3142578125,552.0392058537899,286.46049531440684,265.57871053938305,440.7026455066426,143.9802755290193
1144,1.3953125,0.552734375,0.865234375,3.4765625,0.798828125,0.7018814316125634,1.7451247212226115,0.8128906250000001,0.067578125,0.2287109375,0.4255859375,687.9756138130278,399.02199929070065,288.95361452232714,194.31620294093835,351.02254327023434
1145,6.9734375,0.552734375,0.865234375,3.4765625,0.798828125,0.7018814316125634,1.7451247212226115,0.8128906250000001,0.067578125,0.2287109375,0.4255859375,687.9756138130278,399.02199929070065,288.95361452232714,401.49042192917904,235.8420793185519
1146,1.3953125,0.951171875,0.865234375,3.4765625,0.798828125,0.7018814316125634,1.7451247212226115,0.8128906250000001,0.067578125,0.2287109375,0.4255859375,687.9756138130278,399.02199929070065,288.95361452232714,237.66859365484447,333.52048411311966
